pv_pr,v_wind,power_wt,power_solar,e_ro_hourly,datetime,month,tank_level,water_produced,water_consumed,plants_operating
0,10.7,137833.10604562733,0.0,2400.0,2023-01-01 00:00:00,1,51508.06451612904,1600.0,943.5483870967741,2
0,9.7,105342.02753662282,0.0,2400.0,2023-01-01 01:00:00,1,52164.516129032265,1600.0,943.5483870967741,2
0,10.5,131376.30042158408,0.0,2400.0,2023-01-01 02:00:00,1,52820.96774193549,1600.0,943.5483870967741,2
0,9.3,92962.80841930516,0.0,2400.0,2023-01-01 03:00:00,1,53477.41935483872,1600.0,943.5483870967741,2
0,10.8,141006.56220295292,0.0,2400.0,2023-01-01 04:00:00,1,54133.87096774195,1600.0,943.5483870967741,2
0,10.0,115000.0,0.0,2400.0,2023-01-01 05:00:00,1,54790.322580645174,1600.0,943.5483870967741,2
0,10.6,134620.11337129024,0.0,2400.0,2023-01-01 06:00:00,1,55446.7741935484,1600.0,943.5483870967741,2
0,10.8,141006.56220295292,0.0,2400.0,2023-01-01 07:00:00,1,56103.22580645163,1600.0,943.5483870967741,2
173,11.3,155985.67693015918,155700.0,2400.0,2023-01-01 08:00:00,1,56759.677419354855,1600.0,943.5483870967741,2
359,10.1,118267.17070191594,323100.0,2400.0,2023-01-01 09:00:00,1,57416.12903225808,1600.0,943.5483870967741,2
417,11.0,147200.0,375300.0,2400.0,2023-01-01 10:00:00,1,58072.58064516131,1600.0,943.5483870967741,2
433,9.7,105342.02753662282,389700.0,2400.0,2023-01-01 11:00:00,1,58729.03225806454,1600.0,943.5483870967741,2
439,9.5,99067.16425948094,395100.0,2400.0,2023-01-01 12:00:00,1,59385.483870967764,1600.0,943.5483870967741,2
518,9.9,111753.55875512076,466200.0,2400.0,2023-01-01 13:00:00,1,60041.93548387099,1600.0,943.5483870967741,2
431,9.5,99067.16425948094,387900.0,2400.0,2023-01-01 14:00:00,1,60698.38709677422,1600.0,943.5483870967741,2
213,9.0,84200.0,191700.0,2400.0,2023-01-01 15:00:00,1,61354.838709677446,1600.0,943.5483870967741,2
64,8.3,65916.28766014555,57600.0,2400.0,2023-01-01 16:00:00,1,62011.29032258067,1600.0,943.5483870967741,2
1,8.5,70830.04254049217,900.0,2400.0,2023-01-01 17:00:00,1,62667.7419354839,1600.0,943.5483870967741,2
0,7.3,44804.04094011273,0.0,2400.0,2023-01-01 18:00:00,1,63324.19354838713,1600.0,943.5483870967741,2
0,6.9,37671.825688870624,0.0,2400.0,2023-01-01 19:00:00,1,63980.645161290355,1600.0,943.5483870967741,2
0,6.3,28139.348579403548,0.0,2400.0,2023-01-01 20:00:00,1,64637.09677419359,1600.0,943.5483870967741,2
0,6.6,32714.442963867612,0.0,2400.0,2023-01-01 21:00:00,1,65293.54838709682,1600.0,943.5483870967741,2
0,6.4,29618.603715120487,0.0,2400.0,2023-01-01 22:00:00,1,65950.00000000004,1600.0,943.5483870967741,2
0,5.8,21502.229296046964,0.0,2400.0,2023-01-01 23:00:00,1,66606.45161290327,1600.0,943.5483870967741,2
0,4.7,10582.55789807325,0.0,2400.0,2023-01-02 00:00:00,1,67262.9032258065,1600.0,943.5483870967741,2
0,4.6,9760.704613063968,0.0,2400.0,2023-01-02 01:00:00,1,67919.35483870973,1600.0,943.5483870967741,2
0,3.7,3617.8746984030804,0.0,2400.0,2023-01-02 02:00:00,1,67775.80645161295,800.0,943.5483870967741,1
0,3.7,3617.8746984030804,0.0,2400.0,2023-01-02 03:00:00,1,67632.25806451618,800.0,943.5483870967741,1
0,4.4,8196.267215024493,0.0,2400.0,2023-01-02 04:00:00,1,68288.7096774194,1600.0,943.5483870967741,2
0,4.3,7454.792451504154,0.0,2400.0,2023-01-02 05:00:00,1,68945.16129032263,1600.0,943.5483870967741,2
0,1.3,1.951581671133113,0.0,2400.0,2023-01-02 06:00:00,1,68001.61290322586,0.0,943.5483870967741,0
4,0.6,0.0,3600.0,2400.0,2023-01-02 07:00:00,1,67858.06451612909,800.0,943.5483870967741,1
