n_wind,p_solar,total_capex
21,24000,102959468.82807504
20,26000,103219468.82807504
23,21000,103239468.82807504
22,23000,103499468.82807504
21,25000,103759468.82807504
24,20000,103779468.82807504
20,27000,104019468.82807504
23,22000,104039468.82807504
19,29000,104279468.82807504
22,24000,104299468.82807504
25,19000,104319468.82807504
21,26000,104559468.82807504
24,21000,104579468.82807504
20,28000,104819468.82807504
23,23000,104839468.82807504
26,18000,104859468.82807504
19,30000,105079468.82807504
22,25000,105099468.82807504
25,20000,105119468.82807504
21,27000,105359468.82807504
24,22000,105379468.82807504
27,17000,105399468.82807504
20,29000,105619468.82807504
23,24000,105639468.82807504
26,19000,105659468.82807504
22,26000,105899468.82807504
25,21000,105919468.82807504
28,16000,105939468.82807504
21,28000,106159468.82807504
24,23000,106179468.82807504
27,18000,106199468.82807504
20,30000,106419468.82807504
23,25000,106439468.82807504
26,20000,106459468.82807504
22,27000,106699468.82807504
25,22000,106719468.82807504
28,17000,106739468.82807504
21,29000,106959468.82807504
24,24000,106979468.82807504
27,19000,106999468.82807504
23,26000,107239468.82807504
26,21000,107259468.82807504
29,16000,107279468.82807504
22,28000,107499468.82807504
25,23000,107519468.82807504
28,18000,107539468.82807504
21,30000,107759468.82807504
24,25000,107779468.82807504
27,20000,107799468.82807504
23,27000,108039468.82807504
26,22000,108059468.82807504
29,17000,108079468.82807504
22,29000,108299468.82807504
25,24000,108319468.82807504
28,19000,108339468.82807504
24,26000,108579468.82807504
27,21000,108599468.82807504
23,28000,108839468.82807504
26,23000,108859468.82807504
29,18000,108879468.82807504
22,30000,109099468.82807504
25,25000,109119468.82807504
28,20000,109139468.82807504
24,27000,109379468.82807504
27,22000,109399468.82807504
23,29000,109639468.82807504
26,24000,109659468.82807504
29,19000,109679468.82807504
25,26000,109919468.82807504
28,21000,109939468.82807504
24,28000,110179468.82807504
27,23000,110199468.82807504
23,30000,110439468.82807504
26,25000,110459468.82807504
29,20000,110479468.82807504
25,27000,110719468.82807504
28,22000,110739468.82807504
24,29000,110979468.82807504
27,24000,110999468.82807504
26,26000,111259468.82807504
29,21000,111279468.82807504
25,28000,111519468.82807504
28,23000,111539468.82807504
24,30000,111779468.82807504
27,25000,111799468.82807504
26,27000,112059468.82807504
29,22000,112079468.82807504
25,29000,112319468.82807504
28,24000,112339468.82807504
27,26000,112599468.82807504
26,28000,112859468.82807504
29,23000,112879468.82807504
25,30000,113119468.82807504
28,25000,113139468.82807504
27,27000,113399468.82807504
26,29000,113659468.82807504
29,24000,113679468.82807504
28,26000,113939468.82807504
27,28000,114199468.82807504
26,30000,114459468.82807504
29,25000,114479468.82807504
28,27000,114739468.82807504
27,29000,114999468.82807504
29,26000,115279468.82807504
28,28000,115539468.82807504
27,30000,115799468.82807504
29,27000,116079468.82807504
28,29000,116339468.82807504
29,28000,116879468.82807504
28,30000,117139468.82807504
29,29000,117679468.82807504
29,30000,118479468.82807504
