n_wind,p_solar,total_capex
12,21000,105779468.82807504
11,23000,106039468.82807504
13,20000,106319468.82807504
12,22000,106579468.82807504
11,24000,106839468.82807504
14,19000,106859468.82807504
10,26000,107099468.82807504
13,21000,107119468.82807504
12,23000,107379468.82807504
15,18000,107399468.82807504
11,25000,107639468.82807504
14,20000,107659468.82807504
10,27000,107899468.82807504
13,22000,107919468.82807504
16,17000,107939468.82807504
12,24000,108179468.82807504
15,19000,108199468.82807504
11,26000,108439468.82807504
14,21000,108459468.82807504
10,28000,108699468.82807504
13,23000,108719468.82807504
16,18000,108739468.82807504
9,30000,108959468.82807504
12,25000,108979468.82807504
15,20000,108999468.82807504
11,27000,109239468.82807504
14,22000,109259468.82807504
17,17000,109279468.82807504
10,29000,109499468.82807504
13,24000,109519468.82807504
16,19000,109539468.82807504
12,26000,109779468.82807504
15,21000,109799468.82807504
18,16000,109819468.82807504
11,28000,110039468.82807504
14,23000,110059468.82807504
17,18000,110079468.82807504
10,30000,110299468.82807504
13,25000,110319468.82807504
16,20000,110339468.82807504
12,27000,110579468.82807504
15,22000,110599468.82807504
18,17000,110619468.82807504
11,29000,110839468.82807504
14,24000,110859468.82807504
17,19000,110879468.82807504
13,26000,111119468.82807504
16,21000,111139468.82807504
19,16000,111159468.82807504
12,28000,111379468.82807504
15,23000,111399468.82807504
18,18000,111419468.82807504
11,30000,111639468.82807504
14,25000,111659468.82807504
17,20000,111679468.82807504
13,27000,111919468.82807504
16,22000,111939468.82807504
19,17000,111959468.82807504
12,29000,112179468.82807504
15,24000,112199468.82807504
18,19000,112219468.82807504
14,26000,112459468.82807504
17,21000,112479468.82807504
20,16000,112499468.82807504
13,28000,112719468.82807504
16,23000,112739468.82807504
19,18000,112759468.82807504
12,30000,112979468.82807504
15,25000,112999468.82807504
18,20000,113019468.82807504
21,15000,113039468.82807504
14,27000,113259468.82807504
17,22000,113279468.82807504
20,17000,113299468.82807504
13,29000,113519468.82807504
16,24000,113539468.82807504
19,19000,113559468.82807504
15,26000,113799468.82807504
18,21000,113819468.82807504
21,16000,113839468.82807504
14,28000,114059468.82807504
17,23000,114079468.82807504
20,18000,114099468.82807504
13,30000,114319468.82807504
16,25000,114339468.82807504
19,20000,114359468.82807504
22,15000,114379468.82807504
15,27000,114599468.82807504
18,22000,114619468.82807504
21,17000,114639468.82807504
14,29000,114859468.82807504
17,24000,114879468.82807504
20,19000,114899468.82807504
23,14000,114919468.82807504
16,26000,115139468.82807504
19,21000,115159468.82807504
22,16000,115179468.82807504
15,28000,115399468.82807504
18,23000,115419468.82807504
21,18000,115439468.82807504
14,30000,115659468.82807504
17,25000,115679468.82807504
20,20000,115699468.82807504
23,15000,115719468.82807504
16,27000,115939468.82807504
19,22000,115959468.82807504
22,17000,115979468.82807504
15,29000,116199468.82807504
18,24000,116219468.82807504
21,19000,116239468.82807504
24,14000,116259468.82807504
17,26000,116479468.82807504
20,21000,116499468.82807504
23,16000,116519468.82807504
16,28000,116739468.82807504
19,23000,116759468.82807504
22,18000,116779468.82807504
15,30000,116999468.82807504
18,25000,117019468.82807504
21,20000,117039468.82807504
24,15000,117059468.82807504
17,27000,117279468.82807504
20,22000,117299468.82807504
23,17000,117319468.82807504
16,29000,117539468.82807504
19,24000,117559468.82807504
22,19000,117579468.82807504
25,14000,117599468.82807504
18,26000,117819468.82807504
21,21000,117839468.82807504
24,16000,117859468.82807504
